V01301 V04001 V04002 V04003 V13305 V10004_701 V11291_701 V12001_701 V13003_701 V14032
54423 2000 5 19 4.7000 961.2000 1.3000 12.4000 88.0000 7.1000 
54423 2000 5 20 0.0000 962.7000 1.5000 16.7000 71.0000 11.7000 
54423 2000 5 21 0.0000 962.6000 0.5000 19.5000 62.0000 7.0000 
54423 2000 5 22 0.3000 965.8000 0.8000 21.4000 60.0000 11.4000 
54423 2000 5 23 0.0000 963.6000 1.3000 22.5000 53.0000 12.5000 
54423 2000 5 24 0.0000 962.3000 1.0000 24.3000 56.0000 11.3000 
54423 2000 5 25 0.0000 962.2000 1.8000 24.9000 49.0000 8.7000 
54423 2000 5 26 8.3000 964.6000 2.3000 21.7000 62.0000 8.3000 
54423 2000 5 27 16.3000 964.3000 1.3000 17.7000 61.0000 999999.0000 
54423 2000 5 28 0.0000 965.3000 0.3000 20.2000 47.0000 13.6000 
54423 2000 5 29 0.0000 962.6000 1.8000 22.0000 48.0000 12.5000 
54423 2000 5 30 1.9000 958.2000 0.8000 20.4000 59.0000 9.1000 
54423 2000 5 31 1.9000 959.2000 0.8000 18.2000 79.0000 1.1000 
54423 2000 6 1 0.0000 965.7000 0.3000 19.6000 70.0000 12.0000 
54423 2000 6 2 0.0000 969.2000 1.5000 22.6000 60.0000 12.1000 
54423 2000 6 3 0.0000 967.6000 0.0000 23.0000 63.0000 8.9000 
54423 2000 6 4 0.0000 964.6000 1.0000 24.8000 51.0000 12.4000 
54423 2000 6 5 0.0000 962.6000 0.8000 26.1000 48.0000 11.6000 
54423 2000 6 6 0.0000 960.8000 0.8000 26.7000 43.0000 9.7000 
54423 2000 6 7 3.2000 958.3000 0.0000 21.2000 69.0000 4.9000 
54423 2000 6 8 0.0000 959.1000 2.3000 19.2000 63.0000 10.0000 
54423 2000 6 9 0.0000 966.0000 1.0000 18.4000 45.0000 13.1000 
54423 2000 6 10 999990.0000 966.4000 1.5000 18.2000 49.0000 9.7000 
54423 2000 6 11 0.4000 967.9000 0.5000 19.4000 54.0000 11.1000 
54423 2000 6 12 0.0000 967.2000 1.0000 22.0000 47.0000 12.4000 
54423 2000 6 13 0.0000 961.4000 1.5000 26.7000 36.0000 11.2000 
54423 2000 6 14 999990.0000 958.7000 1.8000 28.8000 36.0000 11.9000 
54423 2000 6 15 0.0000 960.2000 1.0000 27.2000 40.0000 4.9000 
54423 2000 6 16 0.0000 967.0000 2.3000 25.5000 45.0000 7.8000 
54423 2000 6 17 0.0000 971.2000 1.0000 25.2000 51.0000 7.3000 
54423 2000 6 18 0.0000 967.9000 0.3000 26.0000 48.0000 11.9000 
54423 2000 6 19 0.0000 964.0000 0.5000 27.7000 40.0000 9.7000 
54423 2000 6 20 999990.0000 961.4000 1.0000 27.2000 38.0000 6.2000 
54423 2000 6 21 0.0000 961.1000 1.3000 26.7000 44.0000 8.8000 
54423 2000 6 22 0.0000 959.6000 1.5000 26.8000 50.0000 11.3000 
54423 2000 6 23 0.0000 957.7000 1.3000 26.7000 58.0000 9.4000 
54423 2000 6 24 1.2000 960.0000 1.8000 24.2000 63.0000 2.7000 
54423 2000 6 25 0.0000 962.4000 1.3000 23.2000 60.0000 6.2000 
54423 2000 6 26 0.0000 959.7000 1.0000 26.1000 47.0000 12.0000 
54423 2000 6 27 0.0000 959.3000 1.3000 27.9000 49.0000 11.1000 
54423 2000 6 28 1.7000 959.8000 1.0000 25.0000 63.0000 0.0000 
54423 2000 6 29 11.8000 956.6000 0.0000 22.4000 77.0000 7.9000 
54423 2000 6 30 999990.0000 958.4000 1.0000 23.5000 61.0000 10.9000 
54423 2000 7 1 0.0000 961.2000 0.3000 26.2000 48.0000 12.6000 
54423 2000 7 2 0.0000 963.0000 1.8000 29.4000 43.0000 12.0000 
54423 2000 7 3 0.0000 964.8000 2.5000 28.8000 57.0000 8.4000 
54423 2000 7 4 3.7000 967.1000 1.0000 25.6000 74.0000 1.2000 
54423 2000 7 5 2.7000 969.8000 1.0000 25.7000 77.0000 4.5000 
54423 2000 7 6 0.0000 967.4000 1.0000 26.8000 66.0000 7.1000 
54423 2000 7 7 0.3000 964.2000 0.8000 26.3000 69.0000 1.3000 
54423 2000 7 8 0.0000 961.1000 1.5000 27.1000 67.0000 8.5000 
54423 2000 7 9 0.0000 961.7000 2.0000 27.4000 58.0000 10.7000 
54423 2000 7 10 0.0000 964.1000 1.3000 27.3000 62.0000 5.8000 
54423 2000 7 11 999990.0000 958.8000 1.0000 29.2000 57.0000 7.0000 
54423 2000 7 12 0.0000 958.8000 1.0000 29.3000 54.0000 9.2000 
54423 2000 7 13 0.0000 956.9000 0.3000 31.5000 45.0000 12.3000 
54423 2000 7 14 0.0000 956.5000 2.0000 32.5000 42.0000 11.5000 
54423 2000 7 15 0.0000 959.6000 1.3000 31.1000 46.0000 10.9000 
54423 2000 7 16 15.3000 961.5000 0.8000 24.0000 86.0000 0.0000 
54423 2000 7 17 0.1000 960.1000 0.8000 27.0000 74.0000 9.9000 
54423 2000 7 18 0.0000 959.8000 1.5000 28.5000 73.0000 8.5000 
54423 2000 7 19 0.0000 959.5000 1.0000 28.1000 68.0000 8.0000 
54423 2000 7 20 0.0000 958.2000 2.0000 28.0000 71.0000 6.1000 
54423 2000 7 21 2.2000 957.1000 1.0000 27.7000 65.0000 2.8000 
54423 2000 7 22 0.0000 955.6000 1.8000 26.1000 45.0000 13.5000 
54423 2000 7 23 0.0000 954.2000 2.3000 27.0000 34.0000 11.8000 
54423 2000 7 24 0.0000 957.6000 2.0000 27.6000 34.0000 13.2000 
54423 2000 7 25 0.0000 958.2000 1.5000 29.6000 38.0000 10.4000 
54423 2000 7 26 0.0000 956.3000 1.0000 28.8000 54.0000 5.5000 
54423 2000 7 27 999990.0000 953.9000 2.0000 26.9000 70.0000 0.0000 
54423 2000 7 28 0.0000 957.6000 1.0000 27.5000 48.0000 7.6000 
54423 2000 7 29 0.0000 954.4000 2.3000 26.1000 30.0000 5.9000 
54423 2000 7 30 0.0000 955.0000 1.8000 24.9000 43.0000 8.1000 
54423 2000 7 31 0.5000 957.9000 1.0000 24.8000 46.0000 10.4000 
54423 2000 8 1 999990.0000 961.9000 2.0000 25.7000 56.0000 9.9000 
54423 2000 8 2 8.4000 966.3000 2.5000 23.6000 69.0000 3.3000 
54423 2000 8 3 4.4000 969.0000 0.0000 20.2000 91.0000 0.0000 
54423 2000 8 4 0.0000 968.5000 0.5000 23.9000 73.0000 8.4000 
54423 2000 8 5 0.0000 968.4000 0.0000 25.3000 69.0000 9.1000 
